country,date,Onset
Latvia,2020-06-09,1.0455868089233755
Latvia,2020-06-10,0.9915130940834141
Latvia,2020-06-11,0.911251212415131
Latvia,2020-06-12,0.8266246362754608
Latvia,2020-06-13,0.7536372453928225
Latvia,2020-06-14,0.7577594568380214
Latvia,2020-06-15,0.8268671193016488
Latvia,2020-06-16,0.8348690591658584
Latvia,2020-06-17,0.8421435499515034
Latvia,2020-06-18,0.8666343355965083
Latvia,2020-06-19,0.9119786614936954
Latvia,2020-06-20,0.9224054316197866
Latvia,2020-06-21,0.9466537342386033
Latvia,2020-06-22,1.081231813773036
Latvia,2020-06-23,1.2095053346265763
Latvia,2020-06-24,1.2669738118331717
Latvia,2020-06-25,1.3360814742967992
Latvia,2020-06-26,1.358874878758487
Latvia,2020-06-27,1.4175557710960232
Latvia,2020-06-28,1.3947623666343356
Latvia,2020-06-29,1.3928225024248302
Latvia,2020-06-30,1.4148884578079535
Latvia,2020-07-01,1.4454413191076625
Latvia,2020-07-02,1.4573229873908826
Latvia,2020-07-03,1.5419495635305531
Latvia,2020-07-04,1.615179437439379
Latvia,2020-07-05,1.700775945683802
Latvia,2020-07-06,1.8249272550921436
Latvia,2020-07-07,1.8775460717749757
Latvia,2020-07-08,1.9490785645004847
Latvia,2020-07-09,2.1840446168768186
Latvia,2020-07-10,2.325654704170708
Latvia,2020-07-11,2.3935499515033944
Latvia,2020-07-12,2.4580504364694473
Latvia,2020-07-13,2.651309408341416
Latvia,2020-07-14,2.7672162948593595
Latvia,2020-07-15,2.8057710960232782
Latvia,2020-07-16,2.83729388942774
Latvia,2020-07-17,2.8903976721629485
Latvia,2020-07-18,2.863239573229874
Latvia,2020-07-19,2.8365664403491753
Latvia,2020-07-20,2.931619786614937
Latvia,2020-07-21,3.1508244422890392
Latvia,2020-07-22,3.3542677012609117
Latvia,2020-07-23,3.405431619786615
Latvia,2020-07-24,3.467507274490786
Latvia,2020-07-25,3.7015033947623666
Latvia,2020-07-26,3.909553831231814
Latvia,2020-07-27,4.091658583899127
Latvia,2020-07-28,4.4241028128031035
Latvia,2020-07-29,4.50921435499515
Latvia,2020-07-30,4.626576139670223
Latvia,2020-07-31,4.603055286129971
Latvia,2020-08-01,4.554801163918526
Latvia,2020-08-02,4.387972841901067
Latvia,2020-08-03,4.439379243452958
Latvia,2020-08-04,4.289524733268671
Latvia,2020-08-05,4.134578079534433
